asset_id,ticker,asset_name,asset_class,sector,country
A0001,AST001,Parker PLC,Equity,Healthcare,USA
A0002,AST002,"Thompson, Gray and Peck",Commodity,Technology,Canada
A0003,AST003,Wright-Andrade,ETF,Energy,Canada
A0004,AST004,Sweeney-Carpenter,Bond,Consumer,Canada
A0005,AST005,"Lopez, Farley and Patrick",Bond,Energy,Germany
A0006,AST006,Reeves-Alvarez,Commodity,Healthcare,Germany
A0007,AST007,Kramer-Fritz,REIT,Healthcare,Germany
A0008,AST008,"Medina, Spencer and Jenkins",ETF,Consumer,Japan
A0009,AST009,"Johnston, Baxter and Figueroa",ETF,Telecommunications,USA
A0010,AST010,"Jones, Wilson and Miles",Bond,Telecommunications,Germany
A0011,AST011,Ryan-Guzman,Bond,Telecommunications,Japan
A0012,AST012,Cole Group,Bond,Telecommunications,USA
A0013,AST013,Hernandez and Sons,Bond,Industrials,India
A0014,AST014,Warner PLC,REIT,Consumer,Canada
A0015,AST015,Fisher LLC,Commodity,Telecommunications,UK
A0016,AST016,Douglas-Jones,Commodity,Consumer,Germany
A0017,AST017,Alexander-Goodwin,Bond,Financials,Japan
A0018,AST018,Morgan-Becker,REIT,Energy,Germany
A0019,AST019,Ford LLC,Bond,Telecommunications,UK
A0020,AST020,Campbell-Logan,ETF,Consumer,Germany
A0021,AST021,George-Hopkins,ETF,Telecommunications,Germany
A0022,AST022,Vega Ltd,Equity,Financials,Canada
A0023,AST023,Jones Group,Commodity,Industrials,Germany
A0024,AST024,"Davis, Holmes and Oneal",Commodity,Industrials,Canada
A0025,AST025,Chapman LLC,ETF,Energy,USA
A0026,AST026,Jackson-Avila,ETF,Consumer,Japan
A0027,AST027,Lin LLC,Bond,Telecommunications,USA
A0028,AST028,Carr-Underwood,Commodity,Technology,Japan
A0029,AST029,Anderson-Brown,Commodity,Technology,Canada
A0030,AST030,Torres-Robinson,ETF,Energy,Canada
A0031,AST031,"Moore, Peterson and Torres",ETF,Technology,Germany
A0032,AST032,Rivera PLC,Bond,Financials,Japan
A0033,AST033,Allen-Medina,Commodity,Industrials,USA
A0034,AST034,Thomas LLC,Bond,Telecommunications,Canada
A0035,AST035,Andrews LLC,REIT,Energy,India
A0036,AST036,Smith-Gordon,Commodity,Telecommunications,Japan
A0037,AST037,Waller Group,Equity,Consumer,USA
A0038,AST038,Pena LLC,ETF,Industrials,Canada
A0039,AST039,"Welch, Ross and Woods",Bond,Healthcare,Canada
A0040,AST040,Thompson Inc,Equity,Energy,USA
A0041,AST041,"Carter, Ortega and Becker",Equity,Energy,UK
A0042,AST042,Snyder-Brown,Bond,Technology,USA
A0043,AST043,"Thomas, Wilkerson and Robinson",Bond,Telecommunications,USA
A0044,AST044,"Johnson, Bowman and Myers",Bond,Financials,India
A0045,AST045,"Webb, Stephenson and Chavez",Commodity,Healthcare,UK
A0046,AST046,Payne-Zuniga,REIT,Energy,Japan
A0047,AST047,"Thompson, Pineda and Bass",ETF,Healthcare,UK
A0048,AST048,Silva-Castillo,Equity,Consumer,Germany
A0049,AST049,"Garcia, Williams and Greer",REIT,Industrials,UK
A0050,AST050,Long-Schwartz,Commodity,Consumer,UK
A0051,AST051,"Bryan, Peters and Tapia",ETF,Energy,Canada
A0052,AST052,Garcia-Love,Bond,Energy,India
A0053,AST053,Cole-Pena,Equity,Telecommunications,Germany
A0054,AST054,Ramsey-Robinson,Bond,Industrials,Japan
A0055,AST055,Rodriguez PLC,ETF,Technology,Germany
A0056,AST056,Miller Ltd,Bond,Consumer,India
A0057,AST057,Vaughan-Gamble,Commodity,Industrials,India
A0058,AST058,Mccormick and Sons,Commodity,Telecommunications,India
A0059,AST059,Williams-Jenkins,ETF,Energy,Germany
A0060,AST060,"Pierce, Smith and Barton",Equity,Healthcare,Germany
A0061,AST061,"Jackson, Garcia and Hernandez",REIT,Financials,Japan
A0062,AST062,Dean-Nelson,Bond,Industrials,India
A0063,AST063,Young PLC,Equity,Telecommunications,Canada
A0064,AST064,Torres LLC,Commodity,Financials,USA
A0065,AST065,"Harris, Holmes and Goodwin",REIT,Telecommunications,Canada
A0066,AST066,Miller-Palmer,Equity,Consumer,Canada
A0067,AST067,"Dodson, Brewer and Smith",Commodity,Telecommunications,India
A0068,AST068,Abbott Group,ETF,Consumer,India
A0069,AST069,Ho-Bennett,ETF,Industrials,UK
A0070,AST070,"Lambert, Roberts and Mcknight",REIT,Financials,Canada
A0071,AST071,"Jordan, Freeman and Lang",ETF,Industrials,USA
A0072,AST072,Peters-Tanner,Equity,Financials,Germany
A0073,AST073,Davis-Barnett,Equity,Consumer,India
A0074,AST074,"Hamilton, Black and Harrell",ETF,Technology,India
A0075,AST075,Lawson LLC,Bond,Industrials,Germany
A0076,AST076,Clayton-Moore,ETF,Healthcare,UK
A0077,AST077,Mitchell-Walker,REIT,Financials,Japan
A0078,AST078,Miller-Cook,REIT,Financials,UK
A0079,AST079,"Scott, Brown and Jensen",Bond,Telecommunications,Germany
